Date,Open,High,Low,Close
10/2019,"2,983.69","3,050.10","2,855.94","3,037.56"
09/2019,"2,909.01","3,021.99","2,891.85","2,976.74"
08/2019,"2,980.32","3,013.59","2,822.12","2,926.46"
07/2019,"2,971.41","3,027.98","2,952.22","2,980.38"
06/2019,"2,751.53","2,964.15","2,728.81","2,941.76"
05/2019,"2,952.33","2,954.13","2,750.52","2,752.06"
04/2019,"2,848.63","2,949.52","2,848.63","2,945.83"
03/2019,"2,798.22","2,860.31","2,722.27","2,834.40"
02/2019,"2,702.32","2,813.49","2,681.83","2,784.49"
01/2019,"2,476.96","2,708.95","2,443.96","2,704.10"
12/2018,"2,790.50","2,800.18","2,346.58","2,506.85"
11/2018,"2,717.58","2,815.15","2,631.09","2,760.17"
10/2018,"2,705.60","2,736.69","2,705.60","2,711.74"
